,,,BARRA TRADICIONAL,,,,,,,,,,,,,,,,BARRA GRILL,,,,,,,,,,,,,,,,BARRA LIGHT,,,,,,,,,,,,,
Category,Monday Date,Lunes Nombre,T_Category,T_Monday Date,T_Lunes Nombre,T_Lunes Opciones,T_Martes Nombre,T_Martes Opciones,T_Miércoles Nombre,T_Miércoles Opciones,T_Jueves Nombre,T_Jueves Opciones,T_Viernes Nombre,T_Viernes Opciones,T_Sábado Nombre,T_Sábado Opciones,T_Domingo Nombre,T_Domingo Opciones,G_Category,G_Monday Date,G_Lunes Nombre,G_Lunes Opciones,G_Martes Nombre,G_Martes Opciones,G_Miércoles Nombre,G_Miércoles Opciones,G_Jueves Nombre,G_Jueves Opciones,G_Viernes Nombre,G_Viernes Opciones,G_Sábado Nombre,G_Sábado Opciones,G_Domingo Nombre,G_Domingo Opciones,L_Category,L_Monday Date,L_Lunes Nombre,L_Lunes Opciones,L_Martes Nombre,L_Martes Opciones,L_Miércoles Nombre,L_Miércoles Opciones,L_Jueves Nombre,L_Jueves Opciones,L_Viernes Nombre,L_Viernes Opciones,L_Sábado Nombre,L_Sábado Opciones,L_Domingo Nombre,L_Domingo Opciones
SEMANA 3,2026-04-06,,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-06,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Huevo con papas,"Frijoles, tortillas de maíz",Pambazo,Chocolate caliente,Calabazas con jamón,"Frijoles, tortillas de maíz",Huevos divorciados,"Frijoles, tortillas de maíz",Gordita de huevo (1) y de chicharrón (1),Atole de fresa,Papas en chile colorado,Frijoles,Croissant de jamón y queso,Atole de coco,grill_plato_1,,Alitas (5 pz) (Búfalo-Mango habanero),,Torta de pulled pork,,Sopa marinera,,Pescado al mojo de ajo,,Hamburguesa de pollo,,Chuleta de res,,Pollo a la plancha,,light_proteina,,Calabazas rellenas de atún,,Chile caporal,,Croissant de atún,,Rollitos de jamón con queso panela (3),,Fajitas de pollo con morrón y cebolla,,Enchiladas verdes de queso panela (4),,Pollo con ejotes,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Tacos de pescado,,"Tacos al albañil (tocino, chorizo, champiñones)",,Bistec con nopales y cebollín,,T-bone,,Costillas de puerco BBQ,,Puerco mechado (desmenuzado),,Gringa al pastor (1),,light_guarnicion,,Arroz,,Arroz,,Papa en gajos,,Puré de papa,,Arroz,,Arroz,,Tallarines a la mantequilla,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Papas francesas,,Papas en gajos,,Arroz,,Puré de papa,,Papas fritas,,Papa asada,,Arroz con elote,,light_caldo,,Lentejas,,Sopa de verduras,,Crema de chícharos,,Sopa de codito,,Sopa de fideo,,Sopa de letras,,Crema de elote,
,,,tradicional_plato,,Estofado de res,,Pollo al pipián,,Pastel de carne (1),,Entomatadas (4),,Gringa al pastor (1),,Pollo a la mexicana,,Empanadas de picadillo (2),,grill_guarnicion,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,,light_ensalada,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,
,,,tradicional_guarnicion_1,,Arroz rojo,,Arroz con elote,,Espagueti con crema,,Arroz con zanahorias,,,,Arroz rojo,,,,,,,,,,,,,,,,,,,,light_topping,,Fresa,,Guayaba,,Piña,,Manzana,,Piña,,Manzana,,Naranja,
,,,tradicional_guarnicion_2,,Frijoles con queso,,Frijoles con chile colorado,,Frijoles con manteca de puerco,,Frijoles graneados a la mexicana,,Frijoles refritos,,Frijoles con manteca de puerco,,Frijoles con curtidos,,,,,,,,,,,,,,,,,,light_semilla,,Pasas,,Chía,,Amaranto,,Semilla,,Cacahuate,,Chía,,Ajonjolí,
,,,tradicional_ensalada,,Ensalada de betabel,,Ensalada con pepino,,Ensalada con espinacas,,Ensalada mixta,,Ensalada de repollo,,Ensalada con nopales,,Ensalada con tomate,,,,,,,,,,,,,,,,,,light_postre,,Canelazo,,Pudín de vainilla,,Gelatina,,Arroz con coco,,Capirotada,,Pan francés,,Dulce de ate,
,,,tradicional_sopa,,Lentejas,,Sopa de verduras,,Crema de chícharos,,Sopa de codito,,Sopa de fideo,,Sopa de letras,,Crema de elote,,,,,,,,,,,,,,,,,,light_complemento,,Tostadas,,Galletas,,Totopos,,Galletas Ritz,,Totopos,,Tostadas,,Totopos,
,,,tradicional_postre,,Canelazo,,Pudín de vainilla,,Gelatina,,Arroz con coco,,Capirotada,,Pan francés,,Dulce de ate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMANA 4,2026-04-13,,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2026-04-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,tradicional_desayuno,,Huevo con chorizo,"Frijoles, tortillas de maíz",Quesadillas salseadas (2),Atole de nuez,Chilaquiles verdes,Frijoles,Rajas con queso,"Frijoles, tortillas de maíz",Tacos dorados de frijoles (3),Licuado de melón,Omelet de salchicha,Frijoles,Sincronizadas de harina (1),Atole de chocolate,grill_plato_1,,Pollo estilo KFC (2 piezas),,Bistec a la mexicana,,Chuleta ahumada hawaiana,,Hot dog grande y complementos,,"Quesabirrias y complementos (cebolla, cilantro, limón)",,Pechuga bañada de mole,,Taco salad de pollo y complementos,,light_proteina,,Pescado al ajo,,Pollo con chícharos,,Croissant de jamón y panela,,Tacos de pescado,,Pollo con garbanzos,,Ensalada de pollo,,Pescado al vapor con calabaza,
,,,tradicional_frutas,,"Fruta de temporada, Pan dulce, Yogurt y granola",,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,"Fruta de temporada, Pan dulce, Yogurt y granola",,Cereal variado y ½ plátano,,grill_plato_2,,Milanesa de puerco,,Pollo en salsa de champiñones,,Dedos de pescado,,Torta ahogada,,Pollo habanero (2),,T-bone,,Tacos de carnitas,,light_guarnicion,,Arroz,,Papa juliana,,Papa en gajos,,Arroz,,Arroz,,Chiles curtidos,,Arroz,
,,,tradicional_bebidas,,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,"Café, Leche, Jugo de naranja",,grill_guarnicion,,Puré de papa,,Espagueti al chipotle,,Espagueti con poblano,,Papas francesas,,Frijoles charros,,Ensalada de codito,,Ensalada de codito,,light_caldo,,Crema de calabaza,,Crema de papa,,Consomé de pollo,,Crema de espinacas,,Alubias,,Crema de elote,,Crema de zanahoria,
,,,tradicional_plato,,Chop suey de pollo,,Enchiladas suizas de pollo (3),,Deshebrada en salsa mortajada,,Flautas de papa con carne molida y crema (4),,Hamburguesa de res,,Cochinita pibil de puerco,,Chile relleno con carne molida,,grill_guarnicion,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,,light_ensalada,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,
,,,tradicional_guarnicion_1,,Arroz frito,,Arroz con calabaza,,Arroz con cebollín,,Coditos con queso,,,,Arroz a la mexicana,,Arroz rojo,,,,,,,,,,,,,,,,,,light_topping,,Fresa,,Guayaba,,Piña,,Manzana,,Piña,,Manzana,,Naranja,
,,,tradicional_guarnicion_2,,Rollo chino,,Frijoles con chile de árbol,,Frijoles refritos,,Frijoles con chile colorado,,Papas fritas,,Frijoles con manteca de puerco,,Frijoles refritos,,,,,,,,,,,,,,,,,,light_semilla,,Pasas,,Chía,,Amaranto,,Semilla,,Cacahuate,,Chía,,Ajonjolí,
,,,tradicional_ensalada,,Ensalada verde,,Ensalada con betabel,,Ensalada con chícharos,,Ensalada con zanahoria,,Ensalada verde,,Ensalada con espinacas,,Ensalada con pepino,,,,,,,,,,,,,,,,,,light_postre,,½ naranja con chile,,Flan,,Gelatina,,Arroz con leche,,Jícama con chile,,Dulce de ate,,Bombones con crema,
,,,tradicional_sopa,,,,Crema de papa,,Consomé de pollo,,Crema de espinacas,,,,Alubias,,Crema de zanahoria,,,,,,,,,,,,,,,,,,light_complemento,,Galletas Ritz,,Totopos,,Tostadas,,Totopos,,Crotones,,Galleta salada,,Totopos,
,,,tradicional_postre,,½ naranja con chile,,Flan,,Gelatina,,Arroz con leche,,Jícama con chile,,Dulce de ate,,Bombones con crema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,tradicional_salsas,,Salsa roja,,Salsa verde,,Salsa mortajada,,Salsa chipotle,,Salsa de chile habanero,,Salsa verde,,Salsa roja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
